,Name,Team,Number,Position,Age,Height,Weight,College,Salary,Age Group
0,Avery Bradley,Boston Celtics,0,PG,25,150.3042952247477,180,Texas,7730337.0,20-25
1,Jae Crowder,Boston Celtics,99,SF,25,162.87535059872573,235,Marquette,6796117.0,20-25
2,John Holland,Boston Celtics,30,SG,27,153.85026547118252,205,Boston University,4833969.545861297,26-30
3,R.J. Hunter,Boston Celtics,28,SG,22,150.61793046114917,185,Georgia State,1148640.0,20-25
4,Jonas Jerebko,Boston Celtics,8,PF,29,169.10618666172448,231,Unknown,5000000.0,26-30
5,Amir Johnson,Boston Celtics,90,PF,29,177.13830182484716,240,Unknown,12000000.0,26-30
6,Jordan Mickey,Boston Celtics,55,PF,21,157.90894280916328,235,LSU,1170960.0,20-25
7,Kelly Olynyk,Boston Celtics,41,C,25,162.15691331689618,238,Gonzaga,2165160.0,20-25
8,Terry Rozier,Boston Celtics,12,PG,22,176.61144873046118,190,Louisville,1824360.0,20-25
9,Marcus Smart,Boston Celtics,36,PG,22,172.42927889171244,220,Oklahoma State,3431040.0,20-25
10,Jared Sullinger,Boston Celtics,7,C,24,178.10840517654492,260,Ohio State,2569260.0,20-25
11,Isaiah Thomas,Boston Celtics,4,PG,27,163.7074635093518,185,Washington,6912869.0,26-30
12,Evan Turner,Boston Celtics,11,SG,27,161.27657901306927,220,Ohio State,3425510.0,26-30
13,James Young,Boston Celtics,13,SG,20,152.3142196135839,215,Kentucky,1749840.0,20-25
14,Tyler Zeller,Boston Celtics,44,C,26,178.02315082222543,253,North Carolina,2616975.0,26-30
15,Bojan Bogdanovic,Brooklyn Nets,44,SG,27,168.01664770576372,216,Unknown,3425510.0,26-30
16,Markel Brown,Brooklyn Nets,22,SG,24,152.24794329536437,190,Oklahoma State,845059.0,20-25
17,Wayne Ellington,Brooklyn Nets,21,SG,28,173.85470602475198,200,North Carolina,1500000.0,26-30
18,Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,169.86503866034866,220,Arizona,1335480.0,20-25
19,Jarrett Jack,Brooklyn Nets,2,PG,32,167.87777613070716,200,Georgia Tech,6300000.0,31-35
20,Sergey Karasev,Brooklyn Nets,10,SG,22,159.06568591979843,208,Unknown,1599840.0,20-25
21,Sean Kilpatrick,Brooklyn Nets,6,SG,26,159.601495454788,219,Cincinnati,134215.0,26-30
22,Shane Larkin,Brooklyn Nets,0,PG,23,170.95776051306214,175,Miami (FL),1500000.0,20-25
23,Brook Lopez,Brooklyn Nets,11,C,28,175.12737843243264,275,Stanford,19689000.0,26-30
24,Chris McCullough,Brooklyn Nets,1,PF,21,179.88386071427334,200,Syracuse,1140240.0,20-25
25,Willie Reed,Brooklyn Nets,33,PF,26,155.57644877994912,220,Saint Louis,947276.0,26-30
26,Thomas Robinson,Brooklyn Nets,41,PF,25,153.74525245496105,237,Kansas,981348.0,20-25
27,Henry Sims,Brooklyn Nets,14,C,26,155.6985570076999,248,Georgetown,947276.0,26-30
28,Donald Sloan,Brooklyn Nets,15,PG,28,177.68712875978426,205,Texas A&M,947276.0,26-30
29,Thaddeus Young,Brooklyn Nets,30,PF,27,165.54140270775886,221,Georgia Tech,11235955.0,26-30
30,Arron Afflalo,New York Knicks,4,SG,30,171.7015127055489,210,UCLA,8000000.0,26-30
31,Lou Amundson,New York Knicks,17,PF,33,179.55722951327445,220,UNLV,1635476.0,31-35
32,Thanasis Antetokounmpo,New York Knicks,43,SF,23,159.62904940985987,205,Unknown,30888.0,20-25
33,Carmelo Anthony,New York Knicks,7,SF,32,157.80240638153543,240,Syracuse,22875000.0,31-35
34,Jose Calderon,New York Knicks,3,PG,34,157.47780074881297,200,Unknown,7402812.0,31-35
35,Cleanthony Early,New York Knicks,11,SF,25,172.65438289902465,210,Wichita State,845059.0,20-25
36,Langston Galloway,New York Knicks,2,SG,24,163.2478737091545,200,Saint Joseph's,845059.0,20-25
37,Jerian Grant,New York Knicks,13,PG,23,166.90433106291115,195,Notre Dame,1572360.0,20-25
38,Robin Lopez,New York Knicks,8,C,28,150.22295518165694,255,Stanford,12650000.0,26-30
39,Kyle O'Quinn,New York Knicks,9,PF,26,158.3636310096241,250,Norfolk State,3750000.0,26-30
40,Kristaps Porzingis,New York Knicks,6,PF,20,165.25936174874695,240,Unknown,4131720.0,20-25
41,Kevin Seraphin,New York Knicks,1,C,26,168.91478401029977,278,Unknown,2814000.0,26-30
42,Lance Thomas,New York Knicks,42,SF,28,159.34515573086634,235,Duke,1636842.0,26-30
43,Sasha Vujacic,New York Knicks,18,SG,32,156.15421763928433,195,Unknown,947276.0,31-35
44,Derrick Williams,New York Knicks,23,PF,25,162.11142925374946,240,Arizona,4000000.0,20-25
45,Tony Wroten,New York Knicks,5,SG,23,152.86968170939713,205,Washington,167406.0,20-25
46,Elton Brand,Philadelphia 76ers,42,PF,37,173.8300837233756,254,Duke,4833969.545861297,36 and above
47,Isaiah Canaan,Philadelphia 76ers,0,PG,25,158.09082019272418,201,Murray State,947276.0,20-25
48,Robert Covington,Philadelphia 76ers,33,SF,25,162.9538469298761,215,Tennessee State,1000000.0,20-25
49,Joel Embiid,Philadelphia 76ers,21,C,22,154.8980203357619,250,Kansas,4626960.0,20-25
50,Jerami Grant,Philadelphia 76ers,39,SF,22,174.22445876933548,210,Syracuse,845059.0,20-25
51,Richaun Holmes,Philadelphia 76ers,22,PF,22,152.0132719136517,245,Bowling Green,1074169.0,20-25
52,Carl Landry,Philadelphia 76ers,7,PF,32,177.20755233083514,248,Purdue,6500000.0,31-35
53,Kendall Marshall,Philadelphia 76ers,5,PG,24,173.30226227549392,200,North Carolina,2144772.0,20-25
54,T.J. McConnell,Philadelphia 76ers,12,PG,24,176.5747500551199,200,Arizona,525093.0,20-25
55,Nerlens Noel,Philadelphia 76ers,4,PF,22,161.55900254415656,228,Kentucky,3457800.0,20-25
56,Jahlil Okafor,Philadelphia 76ers,8,C,20,177.23662565556475,275,Duke,4582680.0,20-25
57,Ish Smith,Philadelphia 76ers,1,PG,27,166.92534818247327,175,Wake Forest,947276.0,26-30
58,Nik Stauskas,Philadelphia 76ers,11,SG,22,177.06688398593332,205,Michigan,2869440.0,20-25
59,Hollis Thompson,Philadelphia 76ers,31,SG,25,179.90864944661013,206,Georgetown,947276.0,20-25
60,Christian Wood,Philadelphia 76ers,35,PF,20,166.22343964662505,220,UNLV,525093.0,20-25
61,Bismack Biyombo,Toronto Raptors,8,C,23,179.43578141647706,245,Unknown,2814000.0,20-25
62,Bruno Caboclo,Toronto Raptors,20,SF,20,165.01135021636208,205,Unknown,1524000.0,20-25
63,DeMarre Carroll,Toronto Raptors,5,SF,29,174.66506518237392,212,Missouri,13600000.0,26-30
64,DeMar DeRozan,Toronto Raptors,10,SG,26,170.24051602186745,220,USC,10050000.0,26-30
65,James Johnson,Toronto Raptors,3,PF,29,161.93871797170704,250,Wake Forest,2500000.0,26-30
66,Cory Joseph,Toronto Raptors,6,PG,24,153.7653512592692,190,Texas,7000000.0,20-25
67,Kyle Lowry,Toronto Raptors,7,PG,30,176.56561326620673,205,Villanova,12000000.0,26-30
68,Lucas Nogueira,Toronto Raptors,92,C,23,167.1910842404174,220,Unknown,1842000.0,20-25
69,Patrick Patterson,Toronto Raptors,54,PF,27,171.06254092233928,235,Kentucky,6268675.0,26-30
70,Norman Powell,Toronto Raptors,24,SG,23,170.21755262790958,215,UCLA,650000.0,20-25
71,Terrence Ross,Toronto Raptors,31,SF,25,162.32498149204665,195,Washington,3553917.0,20-25
72,Luis Scola,Toronto Raptors,4,PF,36,160.2757660381875,240,Unknown,2900000.0,36 and above
73,Jason Thompson,Toronto Raptors,1,PF,29,153.4291534954909,250,Rider,245177.0,26-30
74,Jonas Valanciunas,Toronto Raptors,17,C,24,170.05890842747684,255,Unknown,4660482.0,20-25
75,Delon Wright,Toronto Raptors,55,PG,24,164.14967498288203,190,Utah,1509360.0,20-25
76,Leandro Barbosa,Golden State Warriors,19,SG,33,172.13717032970413,194,Unknown,2500000.0,31-35
77,Harrison Barnes,Golden State Warriors,40,SF,24,177.6386233443101,225,North Carolina,3873398.0,20-25
78,Andrew Bogut,Golden State Warriors,12,C,31,159.29542385099543,260,Utah,13800000.0,31-35
79,Ian Clark,Golden State Warriors,21,SG,25,152.26961852700495,175,Belmont,947276.0,20-25
80,Stephen Curry,Golden State Warriors,30,PG,28,152.88096930720138,190,Davidson,11370786.0,26-30
81,Festus Ezeli,Golden State Warriors,31,C,26,163.47612848219683,265,Vanderbilt,2008748.0,26-30
82,Draymond Green,Golden State Warriors,23,PF,26,158.7052790554621,230,Michigan State,14260870.0,26-30
83,Andre Iguodala,Golden State Warriors,9,SF,32,161.20310840409925,215,Arizona,11710456.0,31-35
84,Shaun Livingston,Golden State Warriors,34,PG,30,178.59966345740733,192,Unknown,5543725.0,26-30
85,Kevon Looney,Golden State Warriors,36,SF,20,177.46786669449622,220,UCLA,1131960.0,20-25
86,James Michael McAdoo,Golden State Warriors,20,SF,23,167.16326993310673,240,North Carolina,845059.0,20-25
87,Brandon Rush,Golden State Warriors,4,SF,30,156.92532583765302,220,Kansas,1270964.0,26-30
88,Marreese Speights,Golden State Warriors,5,C,28,157.33901020796947,255,Florida,3815000.0,26-30
89,Klay Thompson,Golden State Warriors,11,SG,26,161.6517257597991,215,Washington State,15501000.0,26-30
90,Anderson Varejao,Golden State Warriors,18,PF,33,150.7995039938525,273,Unknown,289755.0,31-35
91,Cole Aldrich,Los Angeles Clippers,45,C,27,150.85595181535842,250,Kansas,1100602.0,26-30
92,Jeff Ayres,Los Angeles Clippers,19,PF,29,169.88213029051857,250,Arizona State,111444.0,26-30
93,Jamal Crawford,Los Angeles Clippers,11,SG,36,160.08608061085218,195,Michigan,5675000.0,36 and above
94,Branden Dawson,Los Angeles Clippers,22,SF,23,177.0748786118909,225,Michigan State,525093.0,20-25
95,Jeff Green,Los Angeles Clippers,8,SF,29,165.24957744054606,235,Georgetown,9650000.0,26-30
96,Blake Griffin,Los Angeles Clippers,32,PF,27,151.73255199602087,251,Oklahoma,18907726.0,26-30
97,Wesley Johnson,Los Angeles Clippers,33,SF,28,156.86239202551187,215,Syracuse,1100602.0,26-30
98,DeAndre Jordan,Los Angeles Clippers,6,C,27,175.42219099416462,265,Texas A&M,19689000.0,26-30
99,Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,152.40485497917027,230,UCLA,947276.0,26-30
100,Chris Paul,Los Angeles Clippers,3,PG,31,164.38127107139726,175,Wake Forest,21468695.0,31-35
101,Paul Pierce,Los Angeles Clippers,34,SF,38,162.53877755509455,235,Kansas,3376000.0,36 and above
102,Pablo Prigioni,Los Angeles Clippers,9,PG,39,151.47055184052056,185,Unknown,947726.0,36 and above
103,JJ Redick,Los Angeles Clippers,4,SG,31,152.45805003459398,190,Duke,7085000.0,31-35
104,Austin Rivers,Los Angeles Clippers,25,PG,23,169.29694167353074,200,Duke,3110796.0,20-25
105,C.J. Wilcox,Los Angeles Clippers,30,SG,25,151.4304302786195,195,Washington,1159680.0,20-25
106,Brandon Bass,Los Angeles Lakers,2,PF,31,153.48421503350252,250,LSU,3000000.0,31-35
107,Tarik Black,Los Angeles Lakers,28,C,24,172.93687716347634,250,Kansas,845059.0,20-25
108,Anthony Brown,Los Angeles Lakers,3,SF,23,162.2506937301207,210,Stanford,700000.0,20-25
109,Kobe Bryant,Los Angeles Lakers,24,SF,37,152.9538336588081,212,Unknown,25000000.0,36 and above
110,Jordan Clarkson,Los Angeles Lakers,6,PG,24,161.9391370134315,194,Missouri,845059.0,20-25
111,Roy Hibbert,Los Angeles Lakers,17,C,29,159.14727215270926,270,Georgetown,15592217.0,26-30
112,Marcelo Huertas,Los Angeles Lakers,9,PG,33,157.54813767430036,200,Unknown,525093.0,31-35
113,Ryan Kelly,Los Angeles Lakers,4,PF,25,161.5521656227804,230,Duke,1724250.0,20-25
114,Larry Nance Jr.,Los Angeles Lakers,7,PF,23,160.5007961035816,230,Wyoming,1155600.0,20-25
115,Julius Randle,Los Angeles Lakers,30,PF,21,165.7317956195367,250,Kentucky,3132240.0,20-25
116,D'Angelo Russell,Los Angeles Lakers,1,PG,20,159.1518422395772,195,Ohio State,5103120.0,20-25
117,Robert Sacre,Los Angeles Lakers,50,C,27,153.83499603144986,270,Gonzaga,981348.0,26-30
118,Louis Williams,Los Angeles Lakers,23,SG,29,157.85621255686672,175,Unknown,7000000.0,26-30
119,Metta World Peace,Los Angeles Lakers,37,SF,36,174.00765839345863,260,St. John's,947276.0,36 and above
120,Nick Young,Los Angeles Lakers,0,SF,31,174.99153989919125,210,USC,5219169.0,31-35
121,Eric Bledsoe,Phoenix Suns,2,PG,26,172.95946086600523,190,Kentucky,13500000.0,26-30
122,Devin Booker,Phoenix Suns,1,SG,19,162.01548983233772,206,Kentucky,2127840.0,36 and above
123,Chase Budinger,Phoenix Suns,10,SF,28,174.10716215068217,209,Arizona,206192.0,26-30
124,Tyson Chandler,Phoenix Suns,4,C,33,169.9078745357965,240,Unknown,13000000.0,31-35
125,Archie Goodwin,Phoenix Suns,20,SG,21,171.73878011957953,200,Kentucky,1160160.0,20-25
126,John Jenkins,Phoenix Suns,23,SG,25,178.95864732921274,215,Vanderbilt,981348.0,20-25
127,Brandon Knight,Phoenix Suns,3,PG,24,168.74510673457033,189,Kentucky,13500000.0,20-25
128,Alex Len,Phoenix Suns,21,C,22,167.11795521221723,260,Maryland,3807120.0,20-25
129,Jon Leuer,Phoenix Suns,30,PF,27,169.69083750192726,228,Wisconsin,1035000.0,26-30
130,Phil Pressey,Phoenix Suns,25,PG,25,170.57899222050978,175,Missouri,55722.0,20-25
131,Ronnie Price,Phoenix Suns,14,PG,32,151.59384228121309,190,Utah Valley,947276.0,31-35
132,Mirza Teletovic,Phoenix Suns,35,PF,30,177.86653082160393,242,Unknown,5500000.0,26-30
133,P.J. Tucker,Phoenix Suns,17,SF,31,177.0363693169062,245,Texas,5500000.0,31-35
134,T.J. Warren,Phoenix Suns,12,SF,22,162.66841647048415,230,North Carolina State,2041080.0,20-25
135,Alan Williams,Phoenix Suns,15,C,23,176.24478302520802,260,UC Santa Barbara,83397.0,20-25
136,Quincy Acy,Sacramento Kings,13,SF,25,155.69593171638533,240,Baylor,981348.0,20-25
137,James Anderson,Sacramento Kings,5,SG,27,171.4306545627731,213,Oklahoma State,1015421.0,26-30
138,Marco Belinelli,Sacramento Kings,3,SG,30,158.97099821122023,210,Unknown,6060606.0,26-30
139,Caron Butler,Sacramento Kings,31,SF,36,155.05187799790954,228,Connecticut,1449187.0,36 and above
140,Omri Casspi,Sacramento Kings,18,SF,27,151.9781246785135,225,Unknown,2836186.0,26-30
141,Willie Cauley-Stein,Sacramento Kings,0,C,22,175.85213044310984,240,Kentucky,3398280.0,20-25
142,Darren Collison,Sacramento Kings,7,PG,28,151.55847479110147,175,UCLA,5013559.0,26-30
143,DeMarcus Cousins,Sacramento Kings,15,C,25,164.06003416342062,270,Kentucky,15851950.0,20-25
144,Seth Curry,Sacramento Kings,30,SG,25,153.92871696854615,185,Duke,947276.0,20-25
145,Duje Dukan,Sacramento Kings,26,PF,24,151.9876601497525,220,Wisconsin,525093.0,20-25
146,Rudy Gay,Sacramento Kings,8,SF,29,160.19474557278932,230,Connecticut,12403101.0,26-30
147,Kosta Koufos,Sacramento Kings,41,C,27,172.8917242364733,265,Ohio State,7700000.0,26-30
148,Ben McLemore,Sacramento Kings,23,SG,23,161.3274485128507,195,Kansas,3156600.0,20-25
149,Eric Moreland,Sacramento Kings,25,PF,24,150.88729980244554,238,Oregon State,845059.0,20-25
150,Rajon Rondo,Sacramento Kings,9,PG,30,174.6502072846724,186,Kentucky,9500000.0,26-30
151,Cameron Bairstow,Chicago Bulls,41,PF,25,169.24174658582177,250,New Mexico,845059.0,20-25
152,Aaron Brooks,Chicago Bulls,0,PG,31,162.27770342285825,161,Oregon,2250000.0,31-35
153,Jimmy Butler,Chicago Bulls,21,SG,26,177.02677985445834,220,Marquette,16407500.0,26-30
154,Mike Dunleavy,Chicago Bulls,34,SG,35,164.79558503380892,230,Duke,4500000.0,31-35
155,Cristiano Felicio,Chicago Bulls,6,PF,23,167.73059218920494,275,Unknown,525093.0,20-25
156,Pau Gasol,Chicago Bulls,16,C,35,153.23213249418006,250,Unknown,7448760.0,31-35
157,Taj Gibson,Chicago Bulls,22,PF,30,176.1444928640325,225,USC,8500000.0,26-30
158,Justin Holiday,Chicago Bulls,7,SG,27,178.90823926229916,185,Washington,947276.0,26-30
159,Doug McDermott,Chicago Bulls,3,SF,24,164.85872597804072,225,Creighton,2380440.0,20-25
160,Nikola Mirotic,Chicago Bulls,44,PF,25,155.20240588275706,220,Unknown,5543725.0,20-25
161,E'Twaun Moore,Chicago Bulls,55,SG,27,166.59818083895652,191,Purdue,1015421.0,26-30
162,Joakim Noah,Chicago Bulls,13,C,31,174.4083231119356,232,Florida,13400000.0,31-35
163,Bobby Portis,Chicago Bulls,5,PF,21,151.5370893476119,230,Arkansas,1391160.0,20-25
164,Derrick Rose,Chicago Bulls,1,PG,27,154.3285306418129,190,Memphis,20093064.0,26-30
165,Tony Snell,Chicago Bulls,20,SF,24,172.57229771023026,200,New Mexico,1535880.0,20-25
166,Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,169.58638049474024,198,Saint Mary's,1147276.0,20-25
167,Channing Frye,Cleveland Cavaliers,9,PF,33,173.99430128855334,255,Arizona,8193029.0,31-35
168,Kyrie Irving,Cleveland Cavaliers,2,PG,24,162.2672560351623,193,Duke,16407501.0,20-25
169,LeBron James,Cleveland Cavaliers,23,SF,31,159.1681242031877,250,Unknown,22970500.0,31-35
170,Richard Jefferson,Cleveland Cavaliers,24,SF,35,163.90535668778233,233,Arizona,947276.0,31-35
171,Dahntay Jones,Cleveland Cavaliers,30,SG,35,179.2539376565616,225,Duke,4833969.545861297,31-35
172,James Jones,Cleveland Cavaliers,1,SG,35,162.33618692342867,218,Miami (FL),947276.0,31-35
173,Sasha Kaun,Cleveland Cavaliers,14,C,31,177.50301933157613,260,Kansas,1276000.0,31-35
174,Kevin Love,Cleveland Cavaliers,0,PF,27,154.66568854531425,251,UCLA,19689000.0,26-30
175,Jordan McRae,Cleveland Cavaliers,12,SG,25,155.90483725410778,179,Tennessee,111196.0,20-25
176,Timofey Mozgov,Cleveland Cavaliers,20,C,29,155.7820027423697,275,Unknown,4950000.0,26-30
177,Iman Shumpert,Cleveland Cavaliers,4,SG,25,179.5722744663721,220,Georgia Tech,8988765.0,20-25
178,J.R. Smith,Cleveland Cavaliers,5,SG,30,156.13287792733914,225,Unknown,5000000.0,26-30
179,Tristan Thompson,Cleveland Cavaliers,13,C,25,170.62519086760767,238,Texas,14260870.0,20-25
180,Mo Williams,Cleveland Cavaliers,52,PG,33,165.1328096204489,198,Alabama,2100000.0,31-35
181,Joel Anthony,Detroit Pistons,50,C,33,159.29145914925323,245,UNLV,2500000.0,31-35
182,Aron Baynes,Detroit Pistons,12,C,29,174.51793818110448,260,Washington State,6500000.0,26-30
183,Steve Blake,Detroit Pistons,22,PG,36,160.16895954612733,172,Maryland,2170465.0,36 and above
184,Lorenzo Brown,Detroit Pistons,17,PG,25,152.53825117893794,189,North Carolina State,111444.0,20-25
185,Reggie Bullock,Detroit Pistons,25,SF,25,171.3230644520253,205,North Carolina,1252440.0,20-25
186,Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,154.19644813440075,205,Georgia,2891760.0,20-25
187,Spencer Dinwiddie,Detroit Pistons,8,PG,23,159.7362338054476,200,Colorado,845059.0,20-25
188,Andre Drummond,Detroit Pistons,0,C,22,154.8601865851056,279,Connecticut,3272091.0,20-25
189,Tobias Harris,Detroit Pistons,34,SF,23,170.2723162038392,235,Tennessee,16000000.0,20-25
190,Darrun Hilliard,Detroit Pistons,6,SF,23,173.06619216396993,205,Villanova,600000.0,20-25
191,Reggie Jackson,Detroit Pistons,1,PG,26,153.57280443390147,208,Boston College,13913044.0,26-30
192,Stanley Johnson,Detroit Pistons,3,SF,20,176.43109834382625,245,Arizona,2841960.0,20-25
193,Jodie Meeks,Detroit Pistons,20,SG,28,159.51846005222896,210,Kentucky,6270000.0,26-30
194,Marcus Morris,Detroit Pistons,13,PF,26,159.66208564131912,235,Kansas,5000000.0,26-30
195,Anthony Tolliver,Detroit Pistons,43,PF,31,158.76064245832615,240,Creighton,3000000.0,31-35
196,Lavoy Allen,Indiana Pacers,5,PF,27,167.69165551162888,255,Temple,4050000.0,26-30
197,Rakeem Christmas,Indiana Pacers,25,PF,24,167.6953952640151,250,Syracuse,1007026.0,20-25
198,Monta Ellis,Indiana Pacers,11,SG,30,169.21210149226772,185,Unknown,10300000.0,26-30
199,Paul George,Indiana Pacers,13,SF,26,153.38540744282716,220,Fresno State,17120106.0,26-30
200,George Hill,Indiana Pacers,3,PG,30,159.12736258114805,188,IUPUI,8000000.0,26-30
201,Jordan Hill,Indiana Pacers,27,C,28,175.29631424175113,235,Arizona,4000000.0,26-30
202,Solomon Hill,Indiana Pacers,44,SF,25,161.74507249997552,225,Arizona,1358880.0,20-25
203,Ty Lawson,Indiana Pacers,10,PG,28,158.9415838135776,195,North Carolina,211744.0,26-30
204,Ian Mahinmi,Indiana Pacers,28,C,29,163.84326749931697,250,Unknown,4000000.0,26-30
205,C.J. Miles,Indiana Pacers,0,SF,29,159.9119214318368,231,Unknown,4394225.0,26-30
206,Glenn Robinson III,Indiana Pacers,40,SG,22,164.91816371417627,222,Michigan,1100000.0,20-25
207,Rodney Stuckey,Indiana Pacers,2,PG,30,178.0561889168141,205,Eastern Washington,7000000.0,26-30
208,Myles Turner,Indiana Pacers,33,PF,20,178.88947762108427,243,Texas,2357760.0,20-25
209,Shayne Whittington,Indiana Pacers,42,PF,25,167.0716885275555,250,Western Michigan,845059.0,20-25
210,Joe Young,Indiana Pacers,1,PG,23,158.06341247446673,180,Oregon,1007026.0,20-25
211,Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,175.72398039431474,222,Unknown,1953960.0,20-25
212,Jerryd Bayless,Milwaukee Bucks,19,PG,27,177.00900569555495,200,Arizona,3000000.0,26-30
213,Michael Carter-Williams,Milwaukee Bucks,5,PG,24,178.22493131828082,190,Syracuse,2399040.0,20-25
214,Jared Cunningham,Milwaukee Bucks,9,SG,25,165.59309387745554,195,Oregon State,947276.0,20-25
215,Tyler Ennis,Milwaukee Bucks,11,PG,21,162.7642683307684,194,Syracuse,1662360.0,20-25
216,John Henson,Milwaukee Bucks,31,PF,25,157.80842653443966,229,North Carolina,2943221.0,20-25
217,Damien Inglis,Milwaukee Bucks,17,SF,21,174.37329790852624,246,Unknown,855000.0,20-25
218,O.J. Mayo,Milwaukee Bucks,3,SG,28,162.96319103482293,210,USC,8000000.0,26-30
219,Khris Middleton,Milwaukee Bucks,22,SG,24,155.87520686715098,234,Texas A&M,14700000.0,20-25
220,Greg Monroe,Milwaukee Bucks,15,C,26,168.14495400044171,265,Georgetown,16407500.0,26-30
221,Steve Novak,Milwaukee Bucks,6,SF,32,156.16160370483473,225,Marquette,295327.0,31-35
222,Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,169.94228931140006,257,LSU,845059.0,20-25
223,Jabari Parker,Milwaukee Bucks,12,PF,21,169.23727292568307,250,Duke,5152440.0,20-25
224,Miles Plumlee,Milwaukee Bucks,18,C,27,179.9337547881211,249,Duke,2109294.0,26-30
225,Greivis Vasquez,Milwaukee Bucks,21,PG,29,165.92742055966403,217,Maryland,6600000.0,26-30
226,Rashad Vaughn,Milwaukee Bucks,20,SG,19,178.67622387914705,202,UNLV,1733040.0,36 and above
227,Justin Anderson,Dallas Mavericks,1,SG,22,177.3677874596296,228,Virginia,1449000.0,20-25
228,J.J. Barea,Dallas Mavericks,5,PG,31,177.36723361747994,185,Northeastern,4290000.0,31-35
